score,auc,ef,pos,neg,8763704703141002701,8763704677491002584,8763704661438001832,8763704668221001991,8763704697857002694_orgin,8763704697857002694_target,8763704698352002696_orgin,8763704698352002696_target,8763704701804002698_orgin,8763704701804002698_target
0.8429281122150789,0.5095947788817456,0.33333333333333326,3.0,6.0,4.099999904632568,1.2000000476837158,2.700000047683716,1.2000000476837158,1.399999976158142,2.200000047683716,1.399999976158142,2.200000047683716,4.900000095367432,3.5
0.8429281122150789,0.5095947788817456,0.33333333333333326,3.0,6.0,4.099999904632568,1.2000000476837158,2.700000047683716,1.2000000476837158,1.399999976158142,2.200000047683716,1.399999976158142,2.200000047683716,5.099999904632568,3.5
0.9365283459964933,0.5365283459964932,0.4,8.0,12.0,2.0,3.5999999046325684,4.300000190734863,2.200000047683716,4.099999904632568,4.0,4.099999904632568,4.0,3.0,4.699999809265137
0.936430937073836,0.5364309370738359,0.4,8.0,12.0,2.0,3.5999999046325684,4.5,2.200000047683716,4.099999904632568,4.0,4.099999904632568,4.0,3.0,4.699999809265137
0.9369179816871225,0.5369179816871225,0.4,8.0,12.0,2.0,3.5999999046325684,4.699999809265137,2.200000047683716,4.099999904632568,4.0,4.099999904632568,4.0,3.0,4.699999809265137
0.9359438924605493,0.5359438924605493,0.4,8.0,12.0,2.0,3.5999999046325684,4.900000095367432,2.200000047683716,4.099999904632568,4.0,4.099999904632568,4.0,3.0,4.699999809265137
0.9359438924605493,0.5359438924605493,0.4,8.0,12.0,2.0,3.5999999046325684,5.099999904632568,2.200000047683716,4.099999904632568,4.0,4.099999904632568,4.0,3.0,4.699999809265137
1.021852922780358,0.5481687122540424,0.4736842105263157,9.0,10.0,1.7999999523162842,2.0999999046325684,3.0,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
1.0225347852389595,0.5488505747126436,0.4736842105263157,9.0,10.0,1.7999999523162842,2.0999999046325684,3.200000047683716,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
1.023021829852246,0.5493376193259302,0.4736842105263157,9.0,10.0,1.7999999523162842,2.0999999046325684,3.4000000953674316,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
1.0228270120069314,0.5491428014806156,0.4736842105263157,9.0,10.0,1.7999999523162842,2.0999999046325684,3.5999999046325684,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
0.9962692382622247,0.5462692382622247,0.44999999999999996,9.0,11.0,1.7999999523162842,2.0999999046325684,3.799999952316284,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
0.9958796025715955,0.5458796025715955,0.44999999999999996,9.0,11.0,1.7999999523162842,2.0999999046325684,4.0,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
0.9953925579583089,0.545392557958309,0.44999999999999996,9.0,11.0,1.7999999523162842,2.0999999046325684,4.199999809265137,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
0.9951977401129942,0.5451977401129943,0.44999999999999996,9.0,11.0,1.7999999523162842,2.0999999046325684,4.400000095367432,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
0.9958796025715955,0.5458796025715955,0.44999999999999996,9.0,11.0,1.7999999523162842,2.0999999046325684,4.599999904632568,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
0.9958796025715955,0.5458796025715955,0.44999999999999996,9.0,11.0,1.7999999523162842,2.0999999046325684,4.800000190734863,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
0.9959770114942528,0.5459770114942528,0.44999999999999996,9.0,11.0,1.7999999523162842,2.0999999046325684,5.0,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
0.9957821936489382,0.5457821936489382,0.44999999999999996,9.0,11.0,1.7999999523162842,2.0999999046325684,5.199999809265137,4.900000095367432,4.800000190734863,1.399999976158142,4.800000190734863,1.399999976158142,2.700000047683716,3.200000047683716
1.5517241379310345,0.5517241379310345,1.0,6.0,0.0,1.600000023841858,3.4000000953674316,1.2999999523162842,3.4000000953674316,1.100000023841858,1.7000000476837158,1.100000023841858,1.7000000476837158,1.2999999523162842,2.799999952316284
